StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q17,Q1,Q2,Q2_4_TEXT,Q4,Q5,Q5_6_TEXT,Q6,Q7,Q8,Q14_1,Q14_2,Q14_3,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q13_1,Q13_2,Q13_3,Q11,Q19,Stimuli_DO
2022-11-14 18:38:32,2022-11-14 18:42:18,IP Address,71.87.80.178,100,226,True,2022-11-14 18:42:19,R_2rAZhAEFoAYUsPD,,,,,43.103,-89.5073,anonymous,EN,"Yes, I agree",25-34,Woman,,No,White,,Masters,1-2,Yes,Yes,No,No,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,"Heliograf, the Williamsburg Gazette's AI journalist","No, LSC 560 and all other participants",AI-stimulus
2022-11-14 18:50:31,2022-11-14 18:59:14,IP Address,146.151.113.114,100,522,True,2022-11-14 18:59:14,R_u1UN1rzdcTrHbKV,,,,,43.0725,-89.4491,anonymous,EN,"Yes, I agree",18-24,Man,,No,White,,Bachelors or 4 yr equivalent,3+,Yes,No,No,Yes,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,I do not remember,"No, LSC 560 and all other participants",Human-stimulus
2022-11-14 19:13:41,2022-11-14 19:16:46,IP Address,72.33.2.159,100,184,True,2022-11-14 19:16:47,R_2zdcUQJEwDvLzQk,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Woman,,No,White,,Bachelors or 4 yr equivalent,1-2,Yes,No,Yes,No,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,I do not remember,"No, LSC 560 and all other participants",Human-stimulus
2022-11-14 19:31:11,2022-11-14 19:32:57,IP Address,35.148.93.158,100,106,True,2022-11-14 19:32:57,R_2DY3az2unHGyWQ5,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Man,,No,White,,Associates or other 2-yr equivalent,1-2,Yes,Yes,Yes,Yes,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",AI-stimulus
2022-11-14 20:57:28,2022-11-14 21:02:57,IP Address,146.151.104.226,100,328,True,2022-11-14 21:02:57,R_3VIqSXOJzRYp5wl,,,,,43.0725,-89.4491,anonymous,EN,"Yes, I agree",25-34,Woman,,No,White,,Bachelors or 4 yr equivalent,1-2,Yes,Yes,Yes,No,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,"Heliograf, the Williamsburg Gazette's AI journalist","No, LSC 560 and all other participants",AI-stimulus
2022-11-15 07:42:26,2022-11-15 08:07:27,IP Address,72.33.0.122,100,1500,True,2022-11-15 08:07:27,R_1FPAulvoUB6Hczp,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",25-34,Man,,,Other:,Latino,Masters,1-2,No,Yes,No,No,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,"Blake Miller, a journalist from the Williamsburg Gazette","No, LSC 560 and all other participants",Human-stimulus
2022-11-15 08:49:19,2022-11-15 08:52:43,IP Address,72.33.2.215,100,204,True,2022-11-15 08:52:44,R_3oRE9DRfGKMfgSv,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Woman,,No,White,,High school or GED,0,Yes,Yes,No,No,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-15 08:52:45,2022-11-15 08:55:09,IP Address,172.225.24.64,100,143,True,2022-11-15 08:55:09,R_2ANciNHsYtr4LXs,,,,,43.0782,-89.4075,anonymous,EN,"Yes, I agree",18-24,Woman,,No,White,,High school or GED,3+,No,Yes,Not Sure,No,Neither Agree nor Disagree,Strongly Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-15 08:49:24,2022-11-15 08:55:12,IP Address,72.33.2.139,100,347,True,2022-11-15 08:55:12,R_1j7zou0Cf4XrWzk,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Woman,,No,White,,High school or GED,1-2,Yes,Not Sure,No,Yes,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-15 08:57:38,2022-11-15 09:00:19,IP Address,72.33.2.67,100,160,True,2022-11-15 09:00:19,R_2tgOLno19DX6u40,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Man,,No,White,,High school or GED,1-2,Yes,No,No,Not Sure,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,"Heliograf, the Williamsburg Gazette's AI journalist","Yes, for LSC100, J345, J658, or LSC 675",AI-stimulus
2022-11-15 08:55:34,2022-11-15 09:00:39,IP Address,72.33.0.96,100,304,True,2022-11-15 09:00:39,R_1hGRaWOaQRU9lBw,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Woman,,No,Asian,,High school or GED,0,Yes,No,No,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,"Heliograf, the Williamsburg Gazette's AI journalist","Yes, for LSC100, J345, J658, or LSC 675",AI-stimulus
2022-11-15 09:19:09,2022-11-15 09:23:46,IP Address,72.33.2.240,100,277,True,2022-11-15 09:23:47,R_3HT7EPsziBF2dem,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Man,,No,Asian,,High school or GED,0,Yes,Yes,Yes,No,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,"Blake Miller, a journalist from the Williamsburg Gazette","Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-15 08:43:01,2022-11-15 09:35:17,IP Address,72.33.0.207,100,3135,True,2022-11-15 09:35:17,R_31hj8nNyrbequoF,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Man,,No,Asian,,High school or GED,0,Yes,Yes,Yes,Yes,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,"Heliograf, the Williamsburg Gazette's AI journalist","Yes, for LSC100, J345, J658, or LSC 675",AI-stimulus
2022-11-15 09:37:25,2022-11-15 09:41:54,IP Address,24.158.2.125,100,269,True,2022-11-15 09:41:55,R_2YAnnrFbjnmTV19,,,,,43.0628,-89.3171,anonymous,EN,"Yes, I agree",18-24,Woman,,Yes,White,,High school or GED,1-2,No,Yes,No,No,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-15 09:56:47,2022-11-15 09:59:43,IP Address,72.33.2.171,100,175,True,2022-11-15 09:59:43,R_2WHacnzUQGHglP9,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Woman,,No,White,,High school or GED,1-2,Yes,Yes,No,No,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-15 10:06:56,2022-11-15 10:09:56,IP Address,72.33.2.148,100,180,True,2022-11-15 10:09:56,R_xxSH36RZEIiAt8t,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Woman,,No,Asian,,High school or GED,1-2,Prefer not to disclose,Yes,No,No,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",AI-stimulus
2022-11-15 10:14:03,2022-11-15 10:17:59,IP Address,108.85.185.158,100,236,True,2022-11-15 10:18:00,R_1QyJJEE37Zyw2f3,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",25-34,Woman,,No,White,,Bachelors or 4 yr equivalent,1-2,Yes,Yes,Yes,Not Sure,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,"Heliograf, the Williamsburg Gazette's AI journalist","No, LSC 560 and all other participants",AI-stimulus
2022-11-15 09:58:29,2022-11-15 10:18:57,IP Address,72.33.2.109,100,1228,True,2022-11-15 10:18:58,R_3rJ99K6Q421EkT9,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Woman,,No,Asian,,High school or GED,1-2,Yes,Not Sure,Not Sure,Yes,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-15 10:19:52,2022-11-15 10:24:19,IP Address,72.33.2.51,100,266,True,2022-11-15 10:24:19,R_ZafztrMQEzUYzfj,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Woman,,No,White,,High school or GED,1-2,Yes,Yes,Not Sure,Yes,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,"Blake Miller, a journalist from the Williamsburg Gazette","Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-15 10:58:18,2022-11-15 11:26:52,IP Address,108.54.161.90,100,1714,True,2022-11-15 11:26:53,R_02NdXVcIJBo7fGN,,,,,40.7637,-73.7695,anonymous,EN,"Yes, I agree",45-54,Woman,,No,Asian,,Bachelors or 4 yr equivalent,1-2,Yes,No,No,Yes,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,I do not remember,"No, LSC 560 and all other participants",Human-stimulus
2022-11-15 11:44:35,2022-11-15 11:47:39,IP Address,72.33.2.199,100,184,True,2022-11-15 11:47:40,R_SJgZlpnGT3HCEJr,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Man,,No,Asian,,High school or GED,0,No,Not Sure,Not Sure,Not Sure,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",AI-stimulus
2022-11-15 11:57:30,2022-11-15 12:03:43,IP Address,72.33.2.50,100,372,True,2022-11-15 12:03:43,R_3CV0nKD4Eju9bbJ,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",25-34,Woman,,No,Asian,,Masters,0,Yes,No,No,No,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,I do not remember,"No, LSC 560 and all other participants",AI-stimulus
2022-11-15 10:55:02,2022-11-15 12:16:20,IP Address,72.33.2.73,100,4877,True,2022-11-15 12:16:20,R_3nBgow3xmBK5vNk,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Woman,,No,White,,High school or GED,1-2,Yes,Yes,No,Yes,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-15 12:32:00,2022-11-15 12:40:27,IP Address,107.127.42.141,100,506,True,2022-11-15 12:40:27,R_3L53veBwNH0MnMh,,,,,40.7597,-73.981,anonymous,EN,"Yes, I agree",45-54,Woman,,No,Asian,,Bachelors or 4 yr equivalent,1-2,Yes,Yes,No,Yes,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,"Heliograf, the Williamsburg Gazette's AI journalist","No, LSC 560 and all other participants",AI-stimulus
2022-11-15 12:38:57,2022-11-15 12:42:08,IP Address,72.33.2.43,100,190,True,2022-11-15 12:42:08,R_3GrH9pfV6OPnyXF,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Woman,,No,Asian,,High school or GED,1-2,Yes,Not Sure,No,Yes,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,"Heliograf, the Williamsburg Gazette's AI journalist","Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-15 10:57:45,2022-11-15 13:03:18,IP Address,108.29.39.39,100,7532,True,2022-11-15 13:03:18,R_1dNv4TPiqmKZrjz,,,,,40.8156,-73.509,anonymous,EN,"Yes, I agree",35-44,Man,,No,Asian,,Bachelors or 4 yr equivalent,3+,No,Yes,No,Yes,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,"Blake Miller, a journalist from the Williamsburg Gazette","No, LSC 560 and all other participants",Human-stimulus
2022-11-15 13:42:33,2022-11-15 13:44:41,IP Address,72.33.2.164,100,128,True,2022-11-15 13:44:41,R_pH0HdqKH0otvUyd,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Man,,No,Asian,,High school or GED,1-2,Yes,No,No,No,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",AI-stimulus
2022-11-15 13:45:38,2022-11-15 13:47:59,IP Address,72.33.2.248,100,140,True,2022-11-15 13:47:59,R_2dZ39AImzFFaNOo,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Woman,,No,White,,High school or GED,1-2,Yes,Yes,No,No,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",AI-stimulus
2022-11-15 13:59:52,2022-11-15 14:05:02,IP Address,72.33.2.91,100,310,True,2022-11-15 14:05:03,R_3lsH7CZs5DgYPpI,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Man,,No,White,,High school or GED,0,Yes,Yes,No,Yes,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",AI-stimulus
2022-11-15 14:11:24,2022-11-15 14:14:09,IP Address,72.33.2.22,100,164,True,2022-11-15 14:14:09,R_XpKLCfgWdvpVw3v,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Woman,,No,Asian,,High school or GED,1-2,Yes,Yes,No,Yes,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,"Blake Miller, a journalist from the Williamsburg Gazette","Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-15 14:20:49,2022-11-15 14:36:07,IP Address,65.31.99.100,100,918,True,2022-11-15 14:36:08,R_Y9u0HGR3quFGfnP,,,,,43.1172,-88.3446,anonymous,EN,"Yes, I agree",55-65,Woman,,No,White,,Masters,3+,Yes,No,No,Yes,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,"Blake Miller, a journalist from the Williamsburg Gazette","No, LSC 560 and all other participants",Human-stimulus
2022-11-15 14:44:22,2022-11-15 14:48:02,IP Address,174.192.149.222,100,219,True,2022-11-15 14:48:02,R_O3GHvXqtvcTd5vz,,,,,42.3667,-88.0925,anonymous,EN,"Yes, I agree",18-24,Woman,,No,"American Indian or Alaska Native; ",,High school or GED,0,Yes,Yes,No,Yes,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,"Heliograf, the Williamsburg Gazette's AI journalist","Yes, for LSC100, J345, J658, or LSC 675",AI-stimulus
2022-11-15 15:00:33,2022-11-15 15:03:20,IP Address,50.93.222.106,100,167,True,2022-11-15 15:03:21,R_3OBzJ1TSO8zXLwJ,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Woman,,No,White,,High school or GED,1-2,Yes,Yes,Yes,Yes,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,I do not remember,"No, LSC 560 and all other participants",Human-stimulus
2022-11-15 16:29:25,2022-11-15 16:31:51,IP Address,72.33.2.173,100,146,True,2022-11-15 16:31:51,R_1GZJxa3rdzFgzkB,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Woman,,No,Asian,,High school or GED,1-2,Yes,Yes,Yes,Yes,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,"Heliograf, the Williamsburg Gazette's AI journalist","Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-15 17:05:38,2022-11-15 17:10:07,IP Address,72.33.2.45,100,269,True,2022-11-15 17:10:08,R_3HzTEzxvF8pElUe,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Woman,,No,White,,High school or GED,0,Yes,Yes,Not Sure,Yes,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,"Heliograf, the Williamsburg Gazette's AI journalist","Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-15 18:31:44,2022-11-15 18:35:14,IP Address,72.33.2.187,100,209,True,2022-11-15 18:35:14,R_1ih8R7uQKdIRftq,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Woman,,No,White,,Bachelors or 4 yr equivalent,0,Yes,Yes,No,Yes,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,"Blake Miller, a journalist from the Williamsburg Gazette","Yes, for LSC100, J345, J658, or LSC 675",AI-stimulus
2022-11-15 19:39:31,2022-11-15 19:43:48,IP Address,72.33.2.23,100,257,True,2022-11-15 19:43:49,R_8oyxH15NLyey02R,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Man,,No,"Asian,White",,High school or GED,0,Yes,Yes,No,No,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-15 19:49:17,2022-11-15 19:51:57,IP Address,12.185.151.20,100,160,True,2022-11-15 19:51:58,R_2ZWz1WsWRK0KRYO,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Man,,No,Asian,,High school or GED,0,Prefer not to disclose,Yes,No,No,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",AI-stimulus
2022-11-15 19:51:48,2022-11-15 19:56:01,IP Address,72.33.2.212,100,252,True,2022-11-15 19:56:01,R_3oyxvG5imnvqDFP,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Man,,No,White,,High school or GED,1-2,Yes,Yes,No,Yes,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,"Blake Miller, a journalist from the Williamsburg Gazette","Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-15 10:07:38,2022-11-15 20:44:10,IP Address,72.33.2.187,100,38191,True,2022-11-15 20:44:10,R_25T6ZGiHKDBWJg7,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Man,,No,Asian,,High school or GED,1-2,Prefer not to disclose,Yes,No,No,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,"Heliograf, the Williamsburg Gazette's AI journalist","Yes, for LSC100, J345, J658, or LSC 675",AI-stimulus
2022-11-15 21:29:23,2022-11-15 21:31:25,IP Address,72.33.2.37,100,122,True,2022-11-15 21:31:25,R_1dnrcE1mZUH2TNt,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Man,,No,Asian,,High school or GED,0,Yes,No,No,No,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,"Blake Miller, a journalist from the Williamsburg Gazette","Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-15 22:08:59,2022-11-15 22:12:38,IP Address,50.93.222.82,100,218,True,2022-11-15 22:12:38,R_1KeaMEx7wrITcbF,,,,,43.064,-89.3965,anonymous,EN,"Yes, I agree",18-24,Man,,No,Asian,,High school or GED,1-2,No,Yes,No,No,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
